1	10	1	1
12	10	1	2
32	10	1	3
40	10	1	4
58	10	1	5
79	10	1	6
95	10	1	7
125	10	1	8
140	10	1	9
160	10	1	10
179	10	1	11
204	10	1	12
228	10	1	13
236	10	1	14
266	10	1	15
282	10	1	16
314	10	1	17
327	10	1	18
352	10	1	19
360	10	1	20
380	10	1	21
414	10	1	22
438	10	1	23
446	10	1	24
467	10	1	25
495	10	1	26
534	10	1	27
552	10	1	28
590	10	1	29
622	10	1	30
654	10	1	31
674	10	2	1
684	10	2	2
707	10	2	3
728	10	2	4
745	10	2	5
778	10	2	6
791	10	2	7
815	10	2	8
832	10	2	9
863	10	2	10
882	10	2	11
898	10	2	12
912	10	2	13
926	10	2	14
945	10	2	15
962	10	2	16
978	10	2	17
996	10	2	18
1012	10	2	19
1050	10	2	20
1078	10	2	21
1097	10	2	22
1116	10	2	23
1139	10	2	24
1157	10	2	25
1168	10	3	1
1198	10	3	2
1211	10	3	3
1232	10	3	4
1242	10	3	5
1261	10	3	6
1298	10	3	7
1315	10	3	8
1344	10	3	9
1355	10	3	10
1370	10	3	11
1389	10	3	12
1406	10	3	13
1425	10	3	14
1456	10	3	15
1477	10	3	16
1498	10	3	17
1530	10	3	18
1542	10	3	19
1562	10	3	20
1575	10	3	21
1588	10	3	22
1622	10	3	23
1638	10	3	24
1667	10	4	1
1686	10	4	2
1704	10	4	3
1719	10	4	4
1738	10	4	5
1754	10	4	6
1766	10	4	7
1787	10	4	8
1808	10	4	9
1824	10	4	10
1836	10	4	11
1854	10	4	12
1871	10	4	13
1880	10	4	14
1907	10	4	15
1929	10	4	16
1943	10	4	17
1967	10	4	18
1988	10	4	19
2003	10	4	20
2015	10	4	21
2027	10	4	22
2044	10	4	23
2067	10	4	24
2076	10	4	25
2101	10	4	26
2120	10	5	1
2134	10	5	2
2149	10	5	3
2167	10	5	4
2183	10	5	5
2198	10	5	6
2210	10	5	7
2228	10	5	8
2242	10	5	9
2251	10	5	10
2270	10	5	11
2283	10	5	12
2292	10	5	13
2310	10	5	14
2323	10	5	15
2335	10	5	16
2353	10	5	17
2368	10	5	18
2382	10	5	19
2397	10	5	20
2412	10	5	21
2423	10	5	22
2441	10	5	23
2454	10	5	24
2466	10	5	25
2480	10	5	26
2500	10	5	27
2515	10	5	28
2528	10	5	29
2549	10	5	30
2569	10	5	31
2584	10	5	32
2601	10	6	1
2617	10	6	2
2637	10	6	3
2660	10	6	4
2696	10	6	5
2717	10	6	6
2732	10	6	7
2761	10	6	8
2768	10	6	9
2783	10	6	10
2795	10	6	11
2808	10	6	12
2826	10	6	13
2850	10	6	14
2871	10	6	15
2889	10	6	16
2913	10	6	17
2942	10	6	18
2961	10	6	19
2983	10	6	20
3008	10	6	21
3027	10	6	22
3038	10	7	1
3062	10	7	2
3087	10	7	3
3105	10	7	4
3133	10	7	5
3141	10	7	6
3155	10	7	7
3174	10	7	8
3197	10	7	9
3214	10	7	10
3228	10	7	11
3263	10	7	12
3275	10	7	13
3302	10	7	14
3336	10	7	15
3353	10	7	16
3372	10	7	17
3396	10	7	18
3414	10	7	19
3435	10	7	20
3448	10	7	21
3482	10	7	22
3496	10	7	23
3533	10	7	24
3544	10	8	1
3575	10	8	2
3590	10	8	3
3611	10	8	4
3630	10	8	5
3654	10	8	6
3669	10	8	7
3687	10	8	8
3705	10	8	9
3739	10	8	10
3754	10	8	11
3780	10	8	12
3797	10	8	13
3835	10	8	14
3852	10	8	15
3859	10	8	16
3872	10	8	17
3911	10	8	18
3922	10	8	19
3943	10	8	20
3970	10	8	21
4014	10	8	22
4036	10	9	1
4055	10	9	2
4086	10	9	3
4102	10	9	4
4109	10	9	5
4135	10	9	6
4152	10	9	7
4164	10	9	8
4175	10	9	9
4186	10	9	10
4217	10	9	11
4241	10	9	12
4264	10	9	13
4280	10	9	14
4295	10	9	15
4323	10	9	16
4350	10	9	17
4370	10	9	18
4389	10	9	19
4400	10	9	20
4409	10	9	21
4421	10	9	22
4437	10	9	23
4466	10	9	24
