CA1	0	
CA2	2	**
CA3	3	***
CA4	4	****
CA5	1	*
CA6	4	****
CA7	3	***
CA8	2	**
CA9	3	***
CA10	2	**
CA11	2	**
CA12	4	****
CA13	3	***
CA14	3	***
CA15	4	****
CA16	1	*
CA17	3	***
CA18	4	****
CA19	2	**
CA20	4	****
CA21	6	******
CA22	5	*****
CA23	6	******
CA24	4	****
CA25	3	***
CA26	4	****
CA27	4	****
CA28	5	*****
CA29	1	*
CA30	4	****
CA31	5	*****
CA32	3	***
CA33	2	**
CA34	3	***
CA35	2	**
CA36	3	***
CA37	1	*
CA38	4	****
CA39	6	******
CA40	5	*****
CA41	6	******
CA42	8	********
CA43	7	*******
CA44	3	***
CA45	4	****
CA46	6	******
CA47	5	*****
CA48	6	******
CA49	8	********
CA50	7	*******
CA51	2	**
CA52	4	****
CA53	3	***
CA54	3	***
CA55	4	****
CA56	1	*
CA57	4	****
CA58	6	******
CA59	5	*****
CA60	5	*****
CA61	6	******
CA62	3	***
CA63	2	**
CA64	4	****
CA65	5	*****
CA66	5	*****
CA67	3	***
CA68	4	****
CA69	5	*****
CA70	5	*****
CA71	2	**
CA72	4	****
CA73	3	***
CA74	3	***
CA75	4	****
CA76	1	*
CA77	3	***
CA78	4	****
CA79	2	**
CA80	7	*******
CA81	6	******
CA82	5	*****
CA83	4	****
CA84	3	***
CA85	2	**
CA86	5	*****
CA87	4	****
CA88	5	*****
CA89	6	******
CA90	8	********
CA91	8	********
CA92	7	*******
CA93	3	***
CA94	3	***
CA95	4	****
CA96	1	*
CA97	4	****
CA98	5	*****
CA99	3	***
CA100	2	**
CA101	3	***
CA102	4	****
CA103	2	**
CA104	3	***
CA105	1	*
CA106	2	**
CA107	3	***
CA108	4	****
CA109	1	*
CA110	2	**
CA111	3	***
CA112	1	*
CA113	1	*
CA114	2	**
CA115	3	***
CA116	3	***
CA117	4	****
CA118	3	***
CA119	4	****
CA120	1	*
CA121	3	***
CA122	8	********
CA123	7	*******
CA124	6	******
CA125	7	*******
CA126	8	********
CA127	5	*****
CA128	4	****
CA129	6	******
CA130	5	*****
CA131	2	**
CA132	1	*
CA133	3	***
CA134	2	**
CA135	1	*
CA136	1	*
CA137	2	**
CA138	0	
CA139	0	
CA140	2	**
CA141	1	*
CA142	2	**
CA143	0	
CA144	2	**
CA145	1	*
CA146	2	**
CA147	3	***
CA148	0	
CA149	2	**
CA150	1	*
CA151	4	****
CA152	3	***
CA153	3	***
CA154	5	*****
CA155	6	******
CA156	7	*******
CA157	4	****
CA158	5	*****
CA159	2	**
CA160	3	***
CA161	4	****
CA162	2	**
CA163	4	****
CA164	5	*****
CA165	3	***
CA166	6	******
CA167	7	*******
CA168	5	*****
CA169	6	******
CA170	4	****
CA171	6	******
CA172	5	*****
